Serovar	O	H1	H2	Probability
II	58	a	z6	0
II	58	b	1,5	0
II	58	c	z6	0
II	58	d	z6	0
IIIb	58	i	e,n,x,z15	0
IIIb	58	i	z53	0
IIIb	58	k	z	0
IIIb	58	l,v	e,n,x,z15	0
IIIb	58	l,v	z35	0
II	58	l,z13,z28	1,5	0
II	58	l,z13,z28	z6	0
IIIb	58	r	e,n,x,z15	0
IIIb	58	r	z	0
IIIb	58	r	z53	0
II	58	z10	1,6	0
IIIb	58	z10	e,n,x,z15	0
IIIb	58	z10	z53	0
II	58	z10	z6	0
II	58	z39	e,n,x,z15	0
IIIb	58	z52	z	0
IIIb	58	z52	z35	0
II	58	z6	1,6	0
IIIb	61	c	1,5,7	0
IIIb	61	c	z35	0
IIIb	61	i	e,n,x,z15	0
IIIb	61	i	z	0
IIIb	61	i	z35	0
IIIb	61	i	z53	0
IIIb	61	k	1,5	0
IIIb	61	k	1,5,7	0
IIIb	61	k	z35	0
IIIb	61	k	z53	0
IIIb	61	l,v	1,5,7	0
IIIb	61	l,v	z	0
IIIb	61	l,v	z35	0
IIIb	61	r	1,5,7	0
IIIb	61	r	z	0
IIIb	61	r	z35	0
IIIb	61	r	z53	0
IIIb	61	z10	z35	0
V	61	z35	-	0
IIIb	61	z52	1,5,7	0
IIIb	61	z52	z	0
IIIb	61	z52	z35	0
IIIb	61	z52	z53	0
II	-	-	1,6	0
Leda	-	-	1,6	0
II	-	-	1,7	0
IV	-	a	-	0
Windsheim	-	a	1,2	0
Uithof	-	a	1,5	0
Tione	-	a	e,n,x	0
Ord	-	a	e,n,z15	0
II	-	a	z42	0
Antonio	-	a	z6	0
II	-	b	-	0
IV	-	b	-	0
II	-	b	1,5	0
Karaya	-	b	1,5	0
Molesey	-	b	1,5	0
Maryland	-	b	1,7	0
Flottbek	-	b	e,n,x	0
Tonev	-	b	e,n,x	0
Batonrouge	-	b	e,n,z15	0
II	-	c	-	0
II	-	c	1,5	0
IIIb	-	c	1,5,7	0
IIIb	-	c	e,n,x,z15	0
IIIb	-	c	e,n,x,z15	0
II	-	c	k	0
IIIb	-	c	z	0
IIIb	-	c	z	0
IIIb	-	c	z53	0
II	-	d	-	0
Gokul	-	d	1,5	0
II	-	d	1,5	0
II	-	d	1,5	0
Utrecht	-	d	1,5	0
II	-	d	e,n,x,z15	0
II	-	d	z39	0
II	-	d	z39	0
II	-	d	z42	0
Meskin	-	e,h	1,2	0
Winnipeg	-	e,h	1,5	0
Butare	-	e,h	1,6	0
Rossleben	-	e,h	1,6	0
Derkle	-	e,h	1,7	0
II	-	e,n,x	1,7	0
Borreze	-	f,g,s	-	0
Montevideo	-	g,m,s	-	0.77943
II	-	g,m,s,t	z42	0
II	-	g,m,t	z6	0
Uccle	-	g,s,t	-	0
II	-	g,s,t	e,n,x	0
II	-	g,t	-	0
II	-	g,t	-	0
II	-	g,t	-	0
Saintemarie	-	g,t	-	0
IIIa	-	g,z51	-	0
IIIa	-	g,z51	-	0
IIIa	-	g,z51	-	0
IV	-	g,z51	-	0
IV	-	g,z51	-	0
Kabete	-	i	1,5	0
IIIb	-	i	e,n,x,z15	0
IIIb	-	i	e,n,x,z15	0
IIIb	-	i	e,n,x,z15	0
IIIb	-	i	e,n,x,z15	0
IIIb	-	i	z	0
IIIb	-	i	z	0
IIIb	-	i	z	0
IIIb	-	i	z	0
IIIb	-	i	z	0
IIIb	-	i	z35	0
IIIb	-	i	z35	0
Poeseldorf	-	i	z6	0
Bordeaux	-	k	1,5	0
Ochsenwerder	-	k	1,5	0
IIIb	-	k	e,n,x,z15	0
IIIb	-	k	e,n,x,z15	0
IIIb	-	k	e,n,x,z15	0
IIIb	-	k	e,n,x,z15	0
Dan	-	k	e,n,z15	0
IIIb	-	k	z	0
IIIb	-	k	z	0
IIIb	-	k	z	0
IIIb	-	k	z	0
IIIb	-	k	z	0
IIIb	-	k	z35	0
IIIb	-	k	z35	0
IIIb	-	k	z35	0
IIIb	-	k	z35	0
IIIb	-	k	z35	0
IIIb	-	k	z35	0
II	-	k	z39	0
IIIb	-	k	z53	0
IIIb	-	k	z53	0
IIIb	-	k	z53	0
IIIb	-	k	z53	0
IIIb	-	k	z53	0
II	-	k	z65	0
Harcourt	-	l,v	1,2	0
Overschie	-	l,v	1,5	0.00555
Dadzie	-	l,v	e,n,x	0
IIIb	-	l,v	e,n,x,z15	0
IIIb	-	l,v	e,n,x,z15	0
IIIb	-	l,v	z	0
IIIb	-	l,v	z	0
IIIb	-	l,v	z	0
IIIb	-	l,v	z	0
IIIb	-	l,v	z	0
IIIb	-	l,v	z35	0
IIIb	-	l,v	z35	0
II	-	l,v	z39	0
IIIb	-	l,v	z53	0
IIIb	-	l,v	z53	0
IIIb	-	l,v	z53	0
Marsabit	-	l,w	1,5	0
II	-	l,z28	-	0
Moundou	-	l,z28	1,5	0
II	-	l,z28	e,n,x	0
II	-	l,z28	z39	0
II	-	l,z28	z39	0
II	-	l,z28	z6	0
II	-	l,z28	z6	0
Djinten	-	m,t	-	0
Newholland	-	m,t	-	0
Crossness	-	r	1,2	0
Czernyring	-	r	1,5	0
IIIb	-	r	e,n,x,z15	0
