Serovar	O	H1	H2
Aachen	J	z35	1,6
Aarhus	K	z4,z23	-
Aarhus	K	z4,z23	z64
Aba	C2-C3	i	e,n,z15
Abadina	M	g,m	e,n,z15
Abadina	M	g,m	-
Abaetetuba	F	k	1,5
Aberdeen	F	i	1,2
Abidjan	Q	b	l,w
Ablogame	I	l,z13,z28	z6
Abobo	I	i	z6
Abony	B	b	e,n,x
Abortusequi	B	-	e,n,x
Abortusovis	B	c	1,6
Abuja	F	g,m	1,5
Accra	E	b	z6
Ackwepe	A/D	l,w	-
Adabraka	E	z4,z23	1,7
Adabraka	E	z4,z23	-
Adamstown	M	k	1,6
Adamstua	F	e,h	1,6
Adana	U	z10	1,5
Adelaide	O	f,g	-
Adeoyo	I	g,m,t	-
Aderike	M	z38	e,n,z15
Adime	C1	b	1,6
Adjame	G	r	1,6
Aequatoria	C1	z4,z23	e,n,z15
Aesch	C2-C3	z60	1,2
Aflao	H	l,z28	e,n,x
Africana	B	r,i	l,w
Afula	C1	f,g,t	e,n,x
Agama	B	i	1,6
Agbara	I	i	1,6
Agbeni	G	g,m,s,t	-
Agege	E	c	e,n,z15
Ago	N	z38	-
Agodi	O	g,t	-
Agona	B	f,g,s	1,2
Agona	B	f,g,s	-
Agoueve	G	z29	-
Ahanou	J	i	1,7
Ahepe	U	z35	1,6
Ahmadi	E	d	1,5
Ahoutoue	S	z35	1,6
Ahuza	U	k	1,5
Ajiobo	G	z4,z23	-
Akanji	C2-C3	r	1,7
Akuafo	I	y	1,6
Alabama	A/D	c	e,n,z15
Alachua	O	z4,z23	-
Alagbon	C2-C3	y	1,7
Alamo	B	g,z51	1,7
Albany	C2-C3	z4,z24	-
Albert	B	z10	e,n,x
Albertbanjul	V	r	1,5
Albertslund	E	z38	1,6
Albuquerque	H	d	z6
Alexanderplatz	X	z38	-
Alexanderpolder	C2-C3	c	l,w
Alfort	E	f,g	e,n,x
Alger	P	l,v	1,2
Alkmaar	E	a	l,w
Allandale	R	k	1,6
Allerton	E	b	1,6
Alma	Q	i	e,n,z15
Alminko	C2-C3	g,s,t	-
Alpenquai	H	l,v	e,n,z15
Altendorf	B	c	1,7
Altona	C2-C3	r,i	z6
Amager	E	y	1,2
Amba	F	k	l,z13,z28
Amberg	H	l,v	1,7
Amersfoort	C1	d	e,n,x
Amherstiana	C2-C3	l,v	1,6
Amina	I	i	1,5
Aminatu	E	a	1,2
Amounderness	E	i	1,5
Amoutive	M	d	1,5
Amsterdam	E	g,m,s	-
Amunigun	I	a	1,6
Anatum	E	e,h	1,6
Anderlecht	E	c	l,w
Anecho	O	g,s,t	-
Anfo	Q	y	1,2
Angers	C2-C3	z35	z6
Angoda	N	k	e,n,x
Angouleme	I	z10	z6
Ank	M	k	e,n,z15
Anna	G	z35	e,n,z15
Annedal	I	r,i	e,n,x
Antarctica	A/D	g,z63	-
Antonio	-	a	z6
Antsalova	-	z	1,5
Antwerpen	T	c	e,n,z15
Apapa	W	m,t	-
Apeyeme	C2-C3	z38	-
Aprad	W	z10	-
Aqua	N	k	1,6
Aragua	N	z29	-
Arapahoe	H	z4,z23	1,5
Arechavaleta	B	a	1,7
Argenteuil	A/D	c	1,7
Arusha	U	z	e,n,z15
Aschersleben	N	b	1,5
Ashanti	M	b	1,6
Assen	L	a	1,5
Assen	L	a	-
Assinie	E	l,w	z6
Astridplein	I	e,h	1,6
Asylanta	E	c	1,2
Atakpame	C2-C3	e,h	1,7
Atento	F	b	1,2
Athens	R	g,m,s	e,n,x
Athinai	C1	i	e,n,z15
Ati	F	d	1,2
Augustenborg	C1	i	1,2
Aurelianis	A/D	z	e,n,z15
Austin	C1	a	1,7
Australia	Y	l,v	1,5
Avignon	I	y	e,n,z15
Avonmouth	E	i	e,n,z15
Axim	I	z4,z23	z6
Ayinde	B	d	z6
Ayton	B	l,w	z6
Azteca	B	l,v	1,5
Babelsberg	M	z4,z23	e,n,z15
Babelsberg	M	z4,z23	-
Babili	M	z35	1,7
Badagry	I	z10	1,5
Baguida	L	z4,z23	-
Baguirmi	N	y	e,n,x
Bahati	G	b	e,n,z15
Bahrenfeld	H	e,h	1,5
Baiboukoum	C1	k	1,7
Baildon	A/D	a	e,n,x
Bakau	M	a	1,7
Balcones	W	z36	-
Ball	B	y	e,n,x
Bama	J	m,t	-
Bamboye	A/D	b	l,w
Bambylor	A/D	z	e,n,z15
Banalia	C2-C3	b	z6
Banana	B	m,t	1,5
Banana	B	m,t	-
Banco	M	r,i	1,7
Bandia	O	i	l,w
Bandim	J	k	1,6
Bangkok	P	z4,z24	-
Bangui	A/D	d	e,n,z15
Banjul	H	a	e,n,z15
Bardo	C2-C3	e,h	1,2
Bareilly	C1	y	1,5
Bargny	C2-C3	i	1,5
Barmbek	I	d	z6
Barranquilla	I	d	e,n,x
Barry	-	z10	e,n,z15
Basingstoke	A/D	z35	e,n,z15
Bassa	C2-C3	m,t	-
Bassadji	M	r	1,6
Bata	A/D	b	1,7
Batonrouge	-	b	e,n,z15
Battle	I	l,z13,z28	1,6
Bazenheid	C2-C3	z10	1,2
Be	C2-C3	a	z6
Be	C2-C3	a	-
Beaudesert	H	e,h	1,7
Bedford	E	l,z13,z28	e,n,z15
Belem	C2-C3	c	e,n,x
Belfast	C2-C3	c	1,7
Bellevue	C2-C3	z4,z23	1,7
Benfica	E	b	e,n,x
Benguella	R	b	z6
Benin	A/D	y	1,7
Benue	C2-C3	y	l,w
Bere	X	z4,z23	z6
Bergedorf	A/D	e,h	1,2
Bergen	X	i	e,n,z15
Bergues	-	z10	1,5
Berkeley	U	a	1,5
Berlin	J	d	1,5
Berta	A/D	f,g,t	-
Berta	A/D	f,g,t	-
Berta	A/D	-	-
Bessi	E	i	e,n,x
Bethune	E	k	1,7
Biafra	E	z10	z6
Bida	E	c	1,6
Bietri	N	y	1,5
Bignona	J	b	e,n,z15
Bijlmer	R	g,m	-
Bilu	E	f,g,t	1,2,7
Binche	X	z4,z23	l,w
Bingerville	X	z35	e,n,z15
Binningen	W	g,s,t	-
Birkenhead	C1	c	1,6
Birmingham	E	d	l,w
Bispebjerg	B	a	e,n,x
Bissau	B	c	e,n,x
Blancmesnil	B	l,w	e,n,z15
Blegdam	A/D	g,m,q	-
Blijdorp	H	c	1,5
Blitta	X	y	e,n,x
Blockley	C2-C3	k	1,5
Bloomsbury	E	g,t	1,5
Blukwa	K	z4,z24	-
Bobo	V	d	1,5
Bochum	B	r	l,w
Bodjonegoro	N	z4,z24	-
Boecker	H	l,v	1,7
Bofflens	S	z4,z23	1,7
Bokanjac	M	b	1,7
Bolama	V	z	e,n,x
Bolombo	E	z38	z6
Bolombo	E	z38	-
Bolton	E	y	e,n,z15
Bonames	J	a	1,2
Bonariensis	C2-C3	i	e,n,x
Bonn	C1	l,v	e,n,x
Bootle	X	k	1,5
Borbeck	G	l,v	1,6
Bordeaux	-	k	1,5
Borreze	-	f,g,s	-
Borromea	T	i	1,6
Bouake	I	z	z6
Bournemouth	A/D	e,h	1,2
Bousso	H	z4,z23	e,n,z15
Bousso	H	z4,z23	-
Bovismorbificans	C2-C3	r,i	1,5
Brackenridge	V	z	1,5
Bracknell	G	b	1,6
Bradford	B	r	1,5
Braenderup	C1	e,h	e,n,z15
Brancaster	B	z29	-
Brandenburg	B	l,v	e,n,z15
Brazil	I	a	1,5
Brazos	K	a	e,n,z15
Brazzaville	C1	b	1,2
Breda	C2-C3	z4,z23	e,n,x
Bredeney	B	l,v	1,7
Brefet	V	r	e,n,z15
Breukelen	C2-C3	l,z13,z28	e,n,z15
Brevik	I	z	e,n,x,z15
Brezany	B	d	1,6
Brijbhumi	F	i	1,5
Brikama	C2-C3	r,i	l,w
Brindisi	F	c	1,6
Brisbane	M	z	e,n,z15
Bristol	G	z	1,7
Brive	T	r	l,w
Broc	T	z4,z23	e,n,z15
Bron	G	g,m	e,n,z15
Bron	G	g,m	-
Bronx	C2-C3	c	1,6
Brooklyn	I	l,w	e,n,x
Broughton	E	b	l,w
Bruck	C1	z	l,w
Bruebach	Q	e,h	1,2
Brunei	C2-C3	y	1,5
Brunflo	I	r	1,7
Bsilla	C2-C3	r	1,2
Buckeye	Y	d	-
Budapest	B	g,t	-
Bukavu	R	l,z28	1,5
Bukuru	C2-C3	b	l,w
Bulgaria	C2-C3	y	1,6
Bullbay	F	l,v	e,n,z15
Bulovka	C1	z44	-
Burgas	I	l,v	e,n,z15
Burundi	S	a	-
Bury	B	c	z6
Businga	C1	z	e,n,z15
Butantan	E	b	1,5
Butare	-	e,h	1,6
Buzu	H	i	1,7
Caen	I	d	l,w
Cairina	E	z35	z6
Cairns	W	k	e,n,z15
Calabar	E	e,h	l,w
California	B	g,m,t	z67
California	B	g,m,t	-
Camberene	O	z10	1,5
Camberwell	A/D	r	1,7
Campinense	A/D	r	e,n,z15
Canada	B	b	1,6
Canary	R	l,v	1,6
Cannobio	M	z4,z23	1,5
Cannonhill	E	y	e,n,x
Cannstatt	E	m,t	-
Canton	-	z10	e,n,x
Caracas	H	g,m,s	-
Cardoner	I	g,s,t	-
Carmel	J	l,v	e,n,x
Carnac	K	z10	z6
Carno	E	z	l,w
Carpentras	P	z35	e,n,z15
Carrau	H	y	1,7
Carswell	X	g,z51	-
Casablanca	W	k	1,7
Casamance	R	z	e,n,x
Catalunia	M	l,z13,z28	1,5
Catanzaro	H	g,s,t	-
Catumagos	E	z35	1,5
Cayar	C1	z	e,n,x
Cerro	K	z4,z23	1,5
Cerro	K	z4,z23	-
Ceyco	A/D	k	z35
Chagoua	G	a	1,5
Chailey	C2-C3	z4,z23	e,n,z15
Chailey	C2-C3	z4,z23	-
Champaign	Q	k	1,5
Chandans	F	d	e,n,x
Chandans	F	d	-
Charity	H	d	e,n,x
Charlottenburg	C2-C3	k	e,n,z15
Chartres	B	e,h	l,w
Cheltenham	A/D	b	1,5
Chennai	B	d	z35
Chester	B	e,h	e,n,x
Chicago	M	r,i	1,5
Chichester	E	i	1,6
Chichiri	H	z4,z24	-
Chile	C1	z	1,2
Chincol	C2-C3	g,m,s	e,n,x
Chincol	C2-C3	g,m,s	-
Chingola	F	e,h	1,2
Chiredzi	F	c	1,5
Chittagong	E	b	z35
Choleraesuis	C1	c	1,5
Chomedey	C2-C3	z10	e,n,z15
Christiansborg	V	z4,z24	-
Clackamas	B	l,v	1,6
Claibornei	A/D	k	1,5
Clanvillian	F	r	e,n,z15
Clerkenwell	E	z	l,w
Cleveland	C2-C3	z10	1,7
Clontarf	A/D	k	1,6
Cochin	A/D	k	1,5
Cochise	K	b	1,7
Cocody	C2-C3	r,i	e,n,z15
Coeln	B	y	1,2
Coleypark	C1	a	l,w
Colindale	C1	r	1,7
Colobane	F	k	1,7
Colombo	P	y	1,6
Colorado	C1	l,w	1,5
Concord	C1	l,v	1,2
Connecticut	F	l,z13,z28	1,5
Coogee	T	l,v	e,n,z15
Coquilhatville	E	z10	1,7
Coromandel	C1	l,v	z35
Corvallis	C2-C3	z4,z23	z6
Corvallis	C2-C3	z4,z23	-
Cotham	M	i	1,5
Cotia	K	-	1,6
Cotonou	C1	c	z6
Cremieu	C2-C3	e,h	1,6
Crewe	F	z	1,5
Croft	M	g,m,s	e,n,z15
Croft	M	g,m,s	-
Crossness	-	r	1,2
Cubana	G	z29	-
Cuckmere	E	i	1,2
Cullingworth	M	d	l,w
Cumberland	Q	i	e,n,x
Curacao	C2-C3	a	1,6
Cyprus	C2-C3	i	l,w
Czernyring	-	r	1,5
Daarle	C2-C3	y	e,n,x
Dabou	C2-C3	z4,z23	l,w
Dadzie	-	l,v	e,n,x
Dahlem	Y	k	e,n,z15
Dahomey	X	k	1,6
Dahra	J	b	1,5
Dakar	M	a	1,6
Dakota	I	z35	e,n,z15
Dallgow	E	z10	e,n,z15
Damman	C1	a	z6
Dan	-	k	e,n,z15
Dapango	X	r	1,2
Daula	C2-C3	z	z6
Daytona	C1	k	1,6
Deckstein	A/D	r	1,7
Delan	Q	y	e,n,z15
Delmenhorst	K	z71	-
Dembe	O	d	l,w
Demerara	G	z10	l,w
Denver	C1	a	e,n,z15
Derby	B	f,g	1,2
Derby	B	f,g	-
Derkle	-	e,h	1,7
Dessau	E	g,s,t	-
Detmold	A/D	a	1,2
Deversoir	W	c	e,n,x
Dibra	M	a	z6
Dietrichsdorf	Q	m,t	-
Dieuppeul	M	i	1,7
Diguel	G	d	e,n,z15
Dingiri	J	z	1,6
Diogoye	C2-C3	z41	z6
Diourbel	L	i	1,2
Djakarta	Y	z4,z24	-
Djama	T	z29	1,5
Djama	T	z29	-
Djelfa	C2-C3	b	1,2
Djermaia	M	z29	-
Djibouti	J	z10	e,n,x
Djinten	-	m,t	-
Djugu	C1	z10	e,n,x
Doba	A/D	a	e,n,z15
Doel	M	z	1,6
Doncaster	C2-C3	a	1,5
Donna	N	l,v	1,5
Doorn	M	i	1,2
Dortmund	E	z41	1,2,5
Douala	M	i	l,w
Dougi	Z	y	1,6
Doulassame	N	a	e,n,z15
Drac	X	l,v	e,n,x
Dresden	M	c	e,n,x
Driffield	R	d	1,5
Drogana	B	r,i	e,n,z15
Dublin	A/D	g,p	-
Duesseldorf	C2-C3	z4,z24	-
Dugbe	W	d	1,6
Duisburg	B	d	e,n,z15
Dumfries	E	r,i	1,6
Dunkwa	C2-C3	d	1,7
Durban	A/D	a	e,n,z15
Durham	G	b	e,n,z15
Duval	R	b	e,n,z15
Ealing	O	g,m,s	-
Eastbourne	A/D	e,h	1,5
Eastglam	E	c	1,5
Eaubonne	K	g,s,t	-
Eberswalde	M	c	1,6
Eboko	C2-C3	b	1,7
Ebrie	O	g,m,t	-
Echa	P	k	1,2
Ede	U	b	e,n,z15
Edinburg	C1	b	1,5
Edmonton	C2-C3	l,v	e,n,z15
Egusi	S	d	1,5
Egusitoo	T	b	z6
Eingedi	C1	f,g,t	1,2,7
Eko	B	e,h	1,6
Ekotedo	A/D	z4,z23	-
Ekpoui	X	z29	-
Elbeuf	V	b	e,n,x
Elisabethville	E	r	1,7
Elokate	A/D	c	1,7
Elomrane	A/D	z38	-
Emek	C2-C3	g,m,s	-
Emmastad	P	r	1,6
Encino	H	d	l,z13,z28
Enschede	O	z10	l,w
Entebbe	B	z	z6
Enteritidis	A/D	g,m	-
Enugu	I	l,z13,z28	1,5
Enugu	I	l,z13,z28	-
Epalinges	U	l,w	z44
Epalinges	U	l,w	-
Epicrates	E	b	l,w
Epinay	F	a	l,z13,z28
Eppendorf	B	d	1,5
Erfurt	F	b	z6
Escanaba	C1	k	e,n,z15
Eschberg	A/D	d	1,7
Eschweiler	C1	z10	1,6
Essen	B	g,m	-
Essingen	I	l,w	z6
Etterbeek	F	z4,z23	e,n,z15
Euston	F	r,i	e,n,x,z15
Everleigh	E	z29	e,n,x
Evry	O	i	z6
Ezra	M	z	1,7
Fairfield	M	r	l,w
Fajara	M	l,z28	e,n,x
Faji	T	a	e,n,z15
Falkensee	E	i	e,n,z15
Fallowfield	E	l,z13,z28	e,n,z15
Fann	F	l,v	e,n,x
Fanti	G	z38	-
Farakan	M	z10	1,5
Farcha	U	y	1,2
Fareham	E	r,i	l,w
Farmingdale	U	z4,z23	1,2
Farmingdale	U	z4,z23	-
Farmsen	G	z	1,6
Farsta	B	i	e,n,x
Fass	Z	l,v	1,2
Fayed	C2-C3	l,w	1,2
Fehrbellin	X	z4,z23	1,6
Ferlo	S	k	1,6
Ferruch	C2-C3	e,h	1,5
Fillmore	C2-C3	e,h	e,n,x
Finaghy	B	y	1,6
Findorff	F	d	z6
Finkenwerder	H	d	1,5
Fischerhuette	I	a	e,n,z15
Fischerkietz	H	y	e,n,x
Fischerstrasse	V	d	e,n,z15
Fitzroy	Y	e,h	1,5
Florian	E	z4,z24	-
Florida	H	d	1,7
Flottbek	-	b	e,n,x
Fluntern	K	b	1,5
Fomeco	W	b	e,n,z15
Fortlamy	I	z	1,6
Fortune	B	z10	z6
Franken	A/D	z6	z67
Frankfurt	I	i	e,n,z15
Frederiksberg	T	b	l,w
Freefalls	M	b	l,w
Freetown	P	y	1,5
Freiburg	E	l,z13	1,2
Fresno	A/D	z38	-
Friedenau	G	d	1,6
Friedrichsfelde	M	f,g	-
Frintrop	A/D	b	1,5
Fufu	E	z	1,5
Fulda	E	l,w	1,5
Fulica	B	a	1,5
Fulica	B	a	-
Fyris	B	l,v	1,2
Gabon	C1	l,w	1,2
Gafsa	I	c	1,6
Gaillac	C2-C3	c	1,5
Galiema	C1	k	1,2
Galil	E	a	e,n,z15
Gallen	F	a	1,2
Gallinarum	A/D	-	-
Gamaba	V	g,m,s	1,6
Gamaba	V	g,m,s	-
Gambaga	L	z35	e,n,z15
Gambia	O	i	e,n,z15
Gaminara	I	d	1,7
Garba	H	a	1,5
Garoli	C1	i	1,6
Gassi	O	e,h	z6
Gateshead	A/D	g,s,t	-
Gatineau	E	y	1,5
Gatow	C1	y	1,7
Gatuni	C2-C3	b	e,n,x
Gbadago	E	c	1,5
Gdansk	C1	l,v	z6
Gege	N	r	1,5
Georgia	C1	b	e,n,z15
Gera	T	z4,z23	1,6
Geraldton	A/D	l,v	1,6
Gerland	I	z	1,5
Ghana	L	b	1,6
Giessen	N	g,m,s	-
Give	E	l,v	1,7
Giza	C2-C3	y	1,2
Glasgow	I	b	1,6
Glidji	F	l,w	1,5
Glostrup	C2-C3	z10	e,n,z15
Gloucester	B	i	l,w
Gnesta	E	b	1,5
Godesberg	N	g,m,t	-
Goelzau	E	a	1,5
Goeteborg	A/D	c	1,5
Goettingen	A/D	l,v	e,n,z15
Gokul	-	d	1,5
Goldcoast	C2-C3	r	l,w
Goma	C1	z4,z23	z6
Gombe	C1	d	e,n,z15
Good	L	f,g	e,n,x
Gori	J	z	1,2
Goulfey	R	k	1,5
Gouloumbo	O	c	1,5
Goverdhan	A/D	k	1,6
Gozo	M	e,h	e,n,z15
Grampian	C1	r	l,w
Grancanaria	I	z39	1,6
Grancanaria	I	z39	-
Grandhaven	N	r	1,2
Granlo	J	l,z28	e,n,x
Graz	U	a	1,2
Greiz	R	a	z6
Groenekan	K	d	1,5
Grumpensis	G	d	1,7
Guarapiranga	N	a	e,n,x
Guerin	A/D	e,h	z6
Gueuletapee	A/D	g,m,s	-
Guildford	M	k	1,2
Guinea	V	z10	1,7
Gustavia	F	d	1,5
Gwale	T	k	z6
Gwoza	E	a	e,n,z15
Haardt	C2-C3	k	1,5
Hadar	C2-C3	z10	e,n,x
Hadejia	J	y	e,n,z15
Haduna	B	l,z13,z28	1,6
Haelsingborg	C1	m,p,t,u	-
Haferbreite	T	k	1,6
Haga	O	z38	-
Haifa	B	z10	1,2
Halle	M	c	1,7
Hallfold	B	c	l,w
Handen	G	d	1,2
Hann	R	k	e,n,x
Hannover	I	a	1,2
Haouaria	G	c	e,n,x,z15
Harburg	H	k	1,5
Harcourt	-	l,v	1,2
Harleystreet	E	z	1,6
Harrisonburg	E	z10	1,6
Hartford	C1	y	e,n,x
Harvestehude	T	y	z6
Hatfield	M	d	1,6
Hato	B	g,m,s	1,2
Hato	B	g,m,s	-
Havana	G	f,g,s	-
Hayindogo	E	e,h	1,6
Heerlen	F	i	1,6
Hegau	Q	z10	-
Heidelberg	B	r	1,2
Heistopdenberg	C2-C3	b	l,w
Hemingford	Z	d	1,5
Hennekamp	T	z35	e,n,z15
Hermannswerder	M	c	1,5
Heron	I	a	z6
Herston	C2-C3	d	e,n,z15
Herzliya	F	y	e,n,x
Hessarek	B	a	1,5
Hidalgo	C2-C3	r,i	e,n,z15
Hiduddify	C2-C3	l,z13,z28	1,5
Hillegersberg	A/D	z35	1,5
Hillingdon	A/D	g,m	-
Hillsborough	C1	z41	l,w
Hilversum	N	k	1,2
Hindmarsh	C2-C3	r	1,5
Hisingen	Y	a	1,5,7
Hissar	C1	c	1,2
Hithergreen	I	c	e,n,z15
Hoboken	E	i	l,w
Hofit	Q	i	1,5
Hoghton	E	l,z13,z28	z6
Hohentwiel	N	z	e,n,x,z15
Holcomb	C2-C3	l,v	e,n,x
Homosassa	H	z	1,5
Honelis	M	a	e,n,z15
Hongkong	E	z	z6
Horsham	H	l,v	e,n,x
Houston	A/D	l,v	1,5
Huddinge	E	z	1,7
Huettwilen	B	a	l,w
Hull	I	b	1,2
Huvudsta	E	b	1,7
Hvittingfoss	I	b	e,n,x
Hydra	L	c	1,6
I	B	b	-
Ibadan	G	b	1,5
Ibaragi	L	y	1,2
Idikan	G	i	1,5
II	C1	z4,z23	-
II	-	b	-
II	R	b	-
II	-	c	-
II	-	d	-
II	R	d	-
II	L	g,m,s,t	-
II	C1	g,m,t	-
II	J	g,m,s,t	-
