Serovar	Group	O Antigen	Serogroup	H Phase 1	H Phase 2	Serogroup Formula	Antigenic Formula	Subspecies
Abortusequi	O:4 (B)	4,12	B	-	e,n,x	B:-:e,n,x	4,12:-:e,n,x	I
Cotia	O:18 (K)	18	K	-	1,6	K:-:1,6	18:-:1,6	I
Gallinarum	O:9 (D1)	1,9,12	D	-	-	D:-:-	1,9,12:-:-	I
II 6,7:-:1,6	O:7 (C1)	6,7	C1	-	1,6	C1:-:1,6	6,7:-:1,6	II
II 11:-:1,5	O:11 (F)	11	F	-	1,5	F:-:1,5	11:-:1,5	II
II 1,13,23:-:1,[5],7	O:13 (G)	1,13,23	G	-	1,[5],7	G:-:1,[5],7	1,13,23:-:1,[5],7	II
II 13,23:-:1,6	O:13 (G)	13,23	G	-	1,6	G:-:1,6	13,23:-:1,6	II
II 51:-:1,7	O:51	51	O-51	-	1,7	O-51:-:1,7	51:-:1,7	II
II 65:-:1,6	O:65	65	O-65	-	1,6	O-65:-:1,6	65:-:1,6	II
II 39:-:1,7	O:39 (Q)	39	Q	-	1,7	Q:-:1,7	39:-:1,7	II
II 1,40:-:1,(5),7	O:40 (R) 	1,40	R	-	1,(5),7	R:-:1,(5),7	1,40:-:1,(5),7	II
II 1,40:-:1,(5),7	O:40 (R) 	1,40	R	-	1,(5),7	R:-:1,(5),7	1,40:-:1,(5),7	II
II 41:-:1,6	O:41 (S)	41	S	-	1,6	S:-:1,6	41:-:1,6	II
II 47:-:-	O:47 (X)	47	X	-	-	X:-:-	47:-:-	II
II 47:-:e,n,x	O:47 (X)	47	X	-	e,n,x	X:-:e,n,x	47:-:e,n,x	II
Leda	O:53	53	O-53	-	1,6	O-53:-:1,6	53:-:1,6	I
II 6,7:(g),m,[s],t:1,5	O:7 (C1)	6,7	C1	(g),m,[s],t	1,5	C1:(g),m,[s],t:1,5	6,7:(g),m,[s],t:1,5	II
II 6,7:(g),m,[s],t:1,5	O:7 (C1)	6,7	C1	(g),m,[s],t	1,5	C1:,m,t:1,5	6,7:(g),m,[s],t:1,5	II
Berta	O:9 (D1)	1,9,12	D	[f],g,[t]	-	D:[f],g,[t]:-	1,9,12:[f],g,[t]:-	I
Berta	O:9 (D1)	1,9,12	D	g,t	-	D:f,g:-	1,9,12:[f],g,[t]:-	I
Berta	O:9 (D1)	1,9,12	D	f,g	-	D:g,t:-	1,9,12:[f],g,[t]:-	I
Berta	O:9 (D1)	1,9,12	D	f,g,t	-	D:g,t:-	1,9,12:[f],g,[t]:-	I
II 39:[g],m,t:-	O:39 (Q)	39	Q	[g],m,t	-	Q:[g],m,t:-	39:[g],m,t:-	II
II 39:[g],m,t:e,n,x	O:39 (Q)	39	Q	[g],m,t	e,n,x	Q:[g],m,t:e,n,x	39:[g],m,t:e,n,x	II
II 1,13,23:[z42]:1,[5],7	O:13 (G)	1,13,23	G	[z42]	1,[5],7	G:z42:1,[5],7	1,13,23:[z42]:1,[5],7	II
Alkmaar	O:1,3,19 (E4)	1,3,19	E	a	l,w	E:a:l,w	1,3,19:a:l,w	I
Aminatu	O:3,10 (E1)	3,10	E	a	1,2	E:a:1,2	3,10:a:1,2	I
Amunigun	O:16 (l)	16	I	a	1,6	I:a:1,6	16:a:1,6	I
Antonio	O:57	57	O-57	a	z6	O-57:a:z6	57:a:z6	I
Arechavaleta	O:4 (B)	4,[5],12	B	a	1,7	B:a:1,7	4,[5],12:a:1,7	I
Assen	O:21 (L)	21	L	a	-	L:a:-	21:a:-	I
Assen	O:21 (L)	21	L	a	1,5	L:a:1,5	21:a:1,5	I
Austin	O:7 (C1)	6,7	C1	a	1,7	C1:a:1,7	6,7:a:1,7	I
Baildon	O:9,46 (D2)	9,46	D	a	e,n,x	D:a:e,n,x	9,46:a:e,n,x	I
Bakau	O:28 (M)	28	M	a	1,7	M:a:1,7	28:a:1,7	I
Banjul	O:6,14 (H)	1,6,14,25	H	a	e,n,z15	H:a:e,n,z15	1,6,14,25:a:e,n,z15	I
Be	O:8 (C2-C3)	8,20	C2-C3	a	-	C2-C3:a:-	8,20:a:-	I
Be	O:8 (C2-C3)	8,20	C2-C3	a	z6	C2-C3:a:z6	8,20:a:z6	I
Berkeley	O:43 (U)	43	U	a	1,5	U:a:1,5	43:a:1,5	I
Bispebjerg	O:4 (B)	1,4,[5],12	B	a	e,n,x	B:a:e,n,x	1,4,[5],12:a:e,n,x	I
Bonames	O:17 (J)	17	J	a	1,2	J:a:1,2	17:a:1,2	I
Brazil	O:16 (l)	16	I	a	1,5	I:a:1,5	16:a:1,5	I
Brazos	O:18 (K)	6,14,18	K	a	e,n,z15	K:a:e,n,z15	6,14,18:a:e,n,z15	I
Burundi	O:41 (S)	41	S	a	-	S:a:-	41:a:-	I
Chagoua	O:13 (G)	1,13,23	G	a	1,5	G:a:1,5	1,13,23:a:1,5	I
